date,description,amount
2025-08-03,LANDLORD PAYMENT - RENT,-1500
2025-08-03,PROPERTY MANAGEMENT FEE,-75
2025-08-03,PAYCHECK - DIRECT DEPOSIT,3200
2025-08-03,STARBUCKS #338,-6.69
2025-08-03,CHIPOTLE MEXICAN #836,-19.05
2025-08-03,SHELL GAS STATION,-41.61
2025-08-03,UBER RIDE,-20.92
2025-08-04,STARBUCKS #743,-5.38
2025-08-04,STARBUCKS #646,-6.4
2025-08-04,SHELL GAS STATION,-36.35
2025-08-04,AMAZON MARKETPLACE,-95.81
2025-08-04,MCDONALD RESTAURANT,-40.73
2025-08-05,STARBUCKS #967,-4.79
2025-08-05,CHIPOTLE MEXICAN #911,-13.14
2025-08-05,CHIPOTLE MEXICAN #564,-12.17
2025-08-05,CHEVRON FUEL,-48.62
2025-08-05,TARGET STORE,-49.16
2025-08-06,STARBUCKS #858,-4.81
2025-08-06,PANERA BREAD #652,-12.81
2025-08-06,ROSS STORE,-77.47
2025-08-07,NETFLIX SUBSCRIPTION,-15.99
2025-08-07,SPOTIFY PREMIUM,-9.99
2025-08-07,STARBUCKS #786,-5.57
2025-08-07,DUNKIN DONUTS #755,-4.45
2025-08-08,STARBUCKS #928,-6.27
2025-08-08,STARBUCKS #204,-6.79
2025-08-08,STARBUCKS #777,-4.71
2025-08-08,CHIPOTLE MEXICAN #621,-14.99
2025-08-08,TRADER JOES,-38.55
2025-08-09,GYM MEMBERSHIP,-49.99
2025-08-09,STARBUCKS #181,-7.52
2025-08-09,CHIPOTLE MEXICAN #111,-17.87
2025-08-09,TRADER JOES,-51.9
2025-08-09,TARGET STORE,-50.98
2025-08-10,DISNEY+ STREAMING,-7.99
2025-08-10,STARBUCKS #473,-8.97
2025-08-10,STARBUCKS #763,-10.23
2025-08-10,DUNKIN DONUTS #680,-5.64
2025-08-10,CHIPOTLE MEXICAN #282,-17.5
2025-08-10,TARGET STORE,-55.98
2025-08-11,IKEA FURNITURE,-251.6
2025-08-12,HULU SUBSCRIPTION,-14.99
2025-08-12,TARGET STORE,-76.7
2025-08-13,STARBUCKS #144,-5.29
2025-08-14,AMAZON PRIME MEMBERSHIP,-14.99
2025-08-14,UNKNOWN APP PURCHASE,-2.99
2025-08-14,CHIPOTLE MEXICAN #641,-14.98
2025-08-15,CHIPOTLE MEXICAN #470,-12.92
2025-08-15,CHEVRON FUEL,-49.34
2025-08-16,DUNKIN DONUTS #352,-5.83
2025-08-16,TARGET STORE,-70.44
2025-08-16,CVS PHARMACY,-40.42
2025-08-17,ELECTRIC COMPANY - MONTHLY,-110.24
2025-08-17,GAS UTILITY BILL,-84.0
2025-08-17,PAYCHECK - DIRECT DEPOSIT,3200
2025-08-17,STARBUCKS #303,-6.41
2025-08-17,DUNKIN DONUTS #758,-8.0
2025-08-17,CHIPOTLE MEXICAN #981,-19.29
2025-08-17,SHELL GAS STATION,-40.57
2025-08-17,SHELL GAS STATION,-45.78
2025-08-18,PANERA BREAD #775,-9.63
2025-08-18,WHOLE FOODS MARKET,-90.49
2025-08-18,TRADER JOES,-41.05
2025-08-18,CVS PHARMACY,-13.67
2025-08-19,PANERA BREAD #214,-11.44
2025-08-19,TRADER JOES,-46.51
2025-08-19,SHELL GAS STATION,-39.86
2025-08-19,UBER EATS,-47.06
2025-08-20,INTERNET SERVICE PROVIDER,-79.99
2025-08-20,STARBUCKS #691,-7.09
2025-08-21,TRADER JOES,-56.91
2025-08-21,BEST BUY ELECTRONICS,-153.44
2025-08-22,WATER & SEWER UTILITY,-49.5
2025-08-22,APP STORE CHARGE,-4.99
2025-08-22,DUNKIN DONUTS #432,-4.05
2025-08-22,CHIPOTLE MEXICAN #494,-12.98
2025-08-22,CHIPOTLE MEXICAN #649,-10.57
2025-08-22,SUBWAY SANDWICH,-24.07
2025-08-23,STARBUCKS #529,-9.25
2025-08-23,STARBUCKS #259,-7.73
2025-08-23,STARBUCKS #487,-8.55
2025-08-23,PANERA BREAD #878,-18.31
2025-08-23,WHOLE FOODS MARKET,-74.92
2025-08-23,SHELL GAS STATION,-52.65
2025-08-23,CHEVRON FUEL,-53.47
2025-08-23,INSTACART,-45.37
2025-08-24,DUNKIN DONUTS #864,-6.79
2025-08-24,CHIPOTLE MEXICAN #448,-19.38
2025-08-24,WHOLE FOODS MARKET,-96.74
2025-08-25,PARKING METER,-33.02
2025-08-26,PANERA BREAD #346,-10.2
2025-08-26,CHEVRON FUEL,-43.81
2025-08-27,MYSTERY SUBSCRIPTION,-1.99
2025-08-27,DUNKIN DONUTS #510,-5.51
2025-08-27,PANERA BREAD #303,-11.54
2025-08-28,STARBUCKS #263,-6.78
2025-08-28,STARBUCKS #489,-7.1
2025-08-28,DUNKIN DONUTS #334,-5.44
2025-08-28,MARSHALLS,-60.23
2025-08-29,STARBUCKS #532,-4.76
2025-08-29,DUNKIN DONUTS #771,-4.29
2025-08-29,PANERA BREAD #187,-13.73
2025-08-29,DOMINOS PIZZA,-11.24
2025-08-30,DIGITAL SERVICE FEE,-3.49
2025-08-30,PANERA BREAD #405,-18.69
2025-08-30,PANERA BREAD #951,-18.75
2025-08-30,OPTOMETRIST CLINIC,-269.74
2025-08-31,PANERA BREAD #100,-19.06
2025-08-31,WHOLE FOODS MARKET,-57.38
2025-08-31,WHOLE FOODS MARKET,-114.67
2025-09-02,LANDLORD PAYMENT - RENT,-1500
2025-09-02,PROPERTY MANAGEMENT FEE,-75
2025-09-02,PAYCHECK - DIRECT DEPOSIT,3200
2025-09-02,DUNKIN DONUTS #915,-4.41
2025-09-02,DUNKIN DONUTS #440,-5.34
2025-09-02,PANERA BREAD #453,-11.98
2025-09-02,PANERA BREAD #651,-13.63
2025-09-02,CVS PHARMACY,-36.78
2025-09-03,STARBUCKS #371,-5.14
